Address,Latitude,Longitude,Category,Name,Area,pred_residents
Achtergracht 26 A,52.3612124,4.9022492,house,,103,3.0
Achtergracht 26 B,52.3612123,4.902249,house,,103,3.0
Achtergracht 26 C,52.3612122,4.9022488,house,,103,3.0
Achtergracht 26 D,52.3612122,4.9022487,house,,118,4.0
Achtergracht 26 E,52.3612121,4.9022485,house,,117,4.0
Achtergracht 26 F,52.3612123,4.9022345,house,,117,4.0
Achtergracht 28-1,52.3612037,4.902308,house,,36,1.0
Achtergracht 28-2,52.3612036,4.9023082,house,,25,0.0
Achtergracht 28 H,52.3612036,4.9023084,house,,41,1.0
Achtergracht 28 O,52.3612035,4.9023086,house,,1,0.0
Achtergracht 30-1,52.3612219,4.9023665,house,,37,1.0
Achtergracht 30-2,52.3612218,4.9023667,house,,50,1.0
Achtergracht 30 H,52.3612391,4.902368,house,,41,1.0
Achtergracht 30 O,52.3612216,4.9023668,house,,76,2.0
Achtergracht 32,52.3612311,4.9024251,house,,63,2.0
Achtergracht 34,52.3612403,4.9024691,house,,115,4.0
Achtergracht 36,52.3612585,4.9025276,house,,65,2.0
Achtergracht 38,52.3612767,4.9025861,house,,81,2.0
Amstel 316,52.3612949,4.90263,office,,,
Amstel 318,52.3612589,4.9026304,house,,78,2.0
Amstel 320-1,52.3612321,4.90266,house,,68,2.0
Amstel 320-2,52.3612321,4.9026598,house,,68,2.0
Amstel 320-3,52.361232,4.9026596,house,,65,2.0
Amstel 320-4,52.361232,4.9026594,house,,56,2.0
Amstel 320 H,52.3612319,4.9026592,house,,63,2.0
Amstel 320 O,52.3612319,4.902659,office,,,
Amstel 326-1,52.3611603,4.9026902,house,,59,2.0
Amstel 326-2,52.3611603,4.90269,house,,59,2.0
Amstel 326-3,52.3611603,4.9026898,house,,59,2.0
Amstel 326 H,52.3611603,4.9026896,office,,,
Amstel 326 O,52.3611603,4.9026894,house,,1,0.0
Amstel 324,52.3611053,4.9024412,house,,1,0.0
Amstel 328-1,52.3611153,4.9026907,house,,186,5.0
Amstel 328 H,52.3611153,4.9026905,house,,160,4.0
Amstel 330-2,52.3610616,4.9027353,house,,145,4.0
Amstel 330 H,52.3610616,4.9027351,house,,132,4.0
Amstel 332,52.3610167,4.9027505,house,,240,5.0
Amstel 334,52.3609629,4.9027804,house,,260,6.0
Amstel 336,52.360918,4.9027956,house,,282,6.0
Amstel 336 A,52.360927,4.9028202,house,,70,2.0
Amstel 338 A,52.3608942,4.9028383,house,,66,2.0
Amstel 338 B,52.3608917,4.9028236,house,,59,2.0
Amstel 338 C,52.3608888,4.9028056,house,,63,2.0
Amstel 338 D,52.3608858,4.9027884,house,,54,2.0
Amstel 338 E,52.3608829,4.9027708,house,,42,1.0
Amstel 300 K,52.3619809,4.9031794,hotel,,,
Amstel 298 P,52.3621636,4.9026445,house,,15,0.0
Achtergracht 11 F,52.3612168,4.9011334,office,,,
Achtergracht 47-2,52.3616955,4.9023597,house,,44,1.0
Achtergracht 45-1,52.3616504,4.9022626,house,,27,1.0
Achtergracht 45-2,52.3616593,4.9022568,house,,27,1.0
Achtergracht 45-3,52.3616686,4.9022516,house,,27,1.0
Achtergracht 45 H,52.3616639,4.9022824,house,,,
Achtergracht 43,52.3616369,4.9021871,house,,81,2.0
Achtergracht 41,52.3616253,4.9021125,house,,53,2.0
Achtergracht 39,52.3616161,4.9020686,house,,60,2.0
Achtergracht 35,52.3615978,4.9019807,house,,210,5.0
Achtergracht 47-1,52.3616741,4.9023726,house,,47,1.0
Achtergracht 47-3,52.3616878,4.9023646,house,,49,1.0
Amstel 314,52.3616894,4.9024055,house,,90,2.0
Amstel 312-1,52.3617521,4.9023607,house,,60,2.0
Amstel 312-2,52.3617521,4.9023605,house,,58,2.0
Amstel 312-3,52.361752,4.9023603,house,,54,2.0
Amstel 312 H,52.361752,4.9023601,house,,41,1.0
Amstel 312 O,52.3617519,4.9023599,shop,,,
Amstel 312 A1,52.3617252,4.9023757,house,,58,2.0
Amstel 312 A2,52.3617252,4.9023755,house,,45,1.0
Amstel 312 A3,52.3617253,4.9023753,house,,61,2.0
Amstel 310 A,52.361806,4.9023601,house,,77,2.0
Amstel 310 B,52.361815,4.90236,house,,139,4.0
Amstel 308-1,52.3618434,4.9023171,house,,73,2.0
Amstel 308-2,52.361841,4.9022891,house,,73,2.0
Amstel 308-3,52.3618351,4.9022599,house,,129,4.0
Amstel 308 H,52.3618503,4.9023393,house,,78,2.0
Utrechtsedwarsstraat 156,52.361957,4.9019034,house,,49,1.0
Utrechtsedwarsstraat 158,52.361939,4.9019036,house,,49,1.0
Utrechtsedwarsstraat 160,52.3619572,4.9019621,house,,103,3.0
Utrechtsedwarsstraat 162,52.3619663,4.9019914,house,,98,3.0
Utrechtsedwarsstraat 164,52.3619394,4.9019917,house,,68,2.0
Utrechtsedwarsstraat 166,52.3619393,4.9019919,house,,68,2.0
Amstel 306-1,52.3619007,4.902304,house,,63,2.0
Amstel 306-2,52.3618958,4.902277,house,,126,4.0
Amstel 306 H,52.3618926,4.9022567,house,,130,4.0
Amstel 300,52.3619495,4.9022852,house,,116,4.0
Utrechtsedwarsstraat 168,52.3619938,4.9021085,house,,120,4.0
Utrechtsedwarsstraat 170,52.3620029,4.9021378,house,,59,2.0
Utrechtsedwarsstraat 172,52.362003,4.9021818,house,,118,4.0
Utrechtsedwarsstraat 174,52.3620122,4.9022111,house,,118,4.0
Amstel 288 A,52.3624069,4.9020306,house,,30,1.0
Amstel 288 B,52.3624067,4.9020305,house,,55,2.0
Amstel 288 C,52.3624065,4.9020304,house,,61,2.0
Amstel 288 D,52.3624064,4.9020303,house,,52,2.0
Amstel 288 E,52.3624062,4.9020302,house,,52,2.0
Amstel 288 F,52.362406,4.9020302,house,,52,2.0
Amstel 288 G,52.3624058,4.9020301,house,,51,2.0
Amstel 288 H,52.3624056,4.90203,house,,53,2.0
Amstel 288 K,52.3624055,4.9020299,house,,83,2.0
Amstel 288 L,52.3624053,4.9020298,house,,30,1.0
Amstel 288 M,52.3624051,4.9020297,house,,30,1.0
Amstel 288 N,52.3624049,4.9020296,house,,55,2.0
Amstel 288 P,52.3624047,4.9020295,house,,42,1.0
Amstel 288 R,52.3624046,4.9020295,house,,42,1.0
Amstel 288 S,52.3624044,4.9020294,house,,42,1.0
Amstel 288 T,52.3624042,4.9020293,house,,42,1.0
Amstel 290 A,52.362371,4.9020603,house,,59,2.0
Amstel 290 B,52.3623709,4.9020602,house,,30,1.0
Amstel 290 C,52.3623707,4.90206,house,,30,1.0
Amstel 290 D,52.3623706,4.9020599,house,,61,2.0
Amstel 290 E,52.3623704,4.9020598,house,,52,2.0
Amstel 290 F,52.3623703,4.9020596,house,,52,2.0
Amstel 290 G,52.3623701,4.9020595,house,,52,2.0
Amstel 290 H,52.36237,4.9020594,house,,52,2.0
Amstel 290 K,52.3623698,4.9020592,house,,53,2.0
Amstel 290 L,52.3622096,4.9021502,house,,61,2.0
Amstel 290 M,52.3623697,4.9020591,house,,30,1.0
Amstel 290 N,52.3623695,4.902059,house,,30,1.0
Amstel 290 P,52.3623694,4.9020588,house,,55,2.0
Amstel 290 R,52.3623692,4.9020587,house,,41,1.0
Amstel 290 S,52.3623691,4.9020586,house,,42,1.0
Amstel 290 T,52.3623689,4.9020584,house,,42,1.0
Amstel 290 U,52.3623688,4.9020583,house,,42,1.0
Amstel 290 V,52.3623686,4.9020582,house,,42,1.0
Amstel 292 A,52.3623082,4.9020757,house,,60,2.0
Amstel 292 B,52.3623081,4.9020755,house,,30,1.0
Amstel 292 C,52.362308,4.9020753,house,,30,1.0
Amstel 292 D,52.362308,4.9020752,house,,62,2.0
Amstel 292 E,52.3623079,4.902075,house,,52,2.0
Amstel 292 F,52.3623078,4.9020748,house,,52,2.0
Amstel 292 G,52.3623077,4.9020746,house,,49,1.0
Amstel 292 H,52.3623076,4.9020744,house,,49,1.0
Amstel 292 K,52.3623076,4.9020742,house,,53,2.0
Amstel 292 L,52.3623075,4.9020741,house,,62,2.0
Amstel 292 M,52.3623074,4.9020739,house,,30,1.0
Amstel 292 N,52.3623073,4.9020737,house,,30,1.0
Amstel 292 P,52.3623072,4.9020735,house,,56,2.0
Amstel 292 R,52.3623072,4.9020733,house,,43,1.0
Amstel 292 S,52.3623071,4.9020731,house,,42,1.0
Amstel 292 T,52.362307,4.902073,house,,42,1.0
Amstel 292 U,52.3623069,4.9020728,house,,40,1.0
Amstel 292 V,52.3623172,4.9020756,house,,42,1.0
Amstel 294 A,52.3622634,4.9021203,house,,60,2.0
Amstel 294 B,52.3622634,4.9021201,house,,30,1.0
Amstel 294 C,52.3622634,4.9021199,house,,28,1.0
Amstel 294 D,52.3622634,4.9021197,house,,62,2.0
Amstel 294 E,52.3622634,4.9021195,house,,52,2.0
Amstel 294 F,52.3622634,4.9021193,house,,52,2.0
Amstel 294 G,52.3622633,4.9021191,house,,52,2.0
Amstel 294 H,52.3622633,4.9021189,house,,52,2.0
Amstel 294 K,52.3622633,4.9021187,house,,53,2.0
Amstel 294 L,52.3622633,4.9021185,house,,62,2.0
Amstel 294 M,52.3622633,4.9021183,house,,30,1.0
Amstel 294 N,52.3622633,4.9021181,house,,30,1.0
Amstel 294 P,52.3622633,4.9021179,house,,56,2.0
Amstel 294 R,52.3622633,4.9021177,house,,43,1.0
Amstel 294 S,52.3622633,4.9021175,house,,42,1.0
Amstel 294 T,52.3622633,4.9021173,house,,40,1.0
Amstel 294 U,52.3622633,4.9021171,house,,41,1.0
Amstel 294 V,52.3622633,4.9021169,house,,42,1.0
Amstel 296 A,52.3621917,4.9021504,house,,60,2.0
Amstel 296 B,52.3621918,4.9021502,house,,30,1.0
Amstel 296 C,52.3621918,4.90215,house,,30,1.0
Amstel 296 D,52.3621919,4.9021498,house,,62,2.0
Amstel 296 E,52.362192,4.9021496,house,,49,1.0
Amstel 296 F,52.362192,4.9021495,house,,50,1.0
Amstel 296 G,52.3621921,4.9021493,house,,49,1.0
Amstel 296 H,52.3621921,4.9021491,house,,50,1.0
Amstel 296 K,52.3621922,4.9021489,house,,53,2.0
Amstel 296 L,52.3621923,4.9021487,house,,62,2.0
Amstel 296 M,52.3621923,4.9021485,house,,30,1.0
Amstel 296 N,52.3621924,4.9021483,house,,30,1.0
Amstel 296 P,52.3621925,4.9021481,house,,56,2.0
Amstel 296 R,52.3621925,4.9021479,house,,41,1.0
Amstel 296 S,52.3621926,4.9021477,house,,42,1.0
Amstel 296 T,52.3621926,4.9021476,house,,42,1.0
Amstel 296 U,52.3621927,4.9021474,house,,42,1.0
Amstel 296 V,52.3621928,4.9021472,house,,42,1.0
Amstel 298 A,52.3621379,4.9021803,house,,56,2.0
Amstel 298 B,52.362138,4.9021801,house,,59,2.0
Amstel 298 C,52.3621381,4.9021799,house,,62,2.0
Amstel 298 D,52.3621382,4.9021798,house,,49,1.0
Amstel 298 E,52.3621383,4.9021796,house,,49,1.0
Amstel 298 F,52.3621384,4.9021794,house,,49,1.0
Amstel 298 G,52.3621385,4.9021792,house,,49,1.0
Amstel 298 H,52.3621386,4.9021791,house,,53,2.0
Amstel 298 K,52.3621386,4.9021789,house,,62,2.0
Amstel 298 L,52.3621387,4.9021787,house,,59,2.0
Amstel 298 M,52.3621388,4.9021785,house,,56,2.0
Amstel 49 K,52.3657514,4.9019298,hotel,,,
Amstel 49 A,52.3661633,4.9019308,house,,42,1.0
Amstel 49 B,52.3661634,4.901931,house,,42,1.0
Amstel 49 C,52.3661635,4.9019312,house,,42,1.0
Nieuwe Herengracht 1,52.3661545,4.9019602,office,,,
Amstel 49,52.3662352,4.9019153,house,,135,4.0
Nieuwe Herengracht 3-2,52.3661728,4.9020481,house,,142,4.0
Nieuwe Herengracht 3 H,52.3661729,4.9020479,house,,115,4.0
Nieuwe Herengracht 5-1,52.366182,4.9021068,house,,77,2.0
Nieuwe Herengracht 5-2,52.3661822,4.9021067,house,,48,1.0
Nieuwe Herengracht 5-3,52.3661824,4.9021067,house,,77,2.0
Nieuwe Herengracht 5-4,52.3661826,4.9021066,house,,55,2.0
Nieuwe Herengracht 5 H,52.3661828,4.9021065,house,,82,2.0
Nieuwe Herengracht 7,52.3662002,4.9021506,house,,284,6.0
Nieuwe Herengracht 9-1,52.3662096,4.9022533,house,,85,2.0
Nieuwe Herengracht 9 H,52.3662098,4.9022533,house,,71,2.0
Nieuwe Herengracht 11 A,52.366237,4.9023558,office,,,
Nieuwe Herengracht 11 B,52.3662372,4.9023557,house,,98,3.0
Nieuwe Herengracht 11 C,52.3662374,4.9023556,house,,98,3.0
Nieuwe Herengracht 11 D,52.3662375,4.9023555,house,,98,3.0
Nieuwe Herengracht 11 E,52.3662377,4.9023554,house,,168,4.0
Nieuwe Herengracht 13-1,52.3662554,4.9024583,house,,57,2.0
Nieuwe Herengracht 13-2,52.3662555,4.9024582,house,,65,2.0
Nieuwe Herengracht 13-3,52.3662557,4.902458,house,,106,3.0
Nieuwe Herengracht 13 H,52.3662558,4.9024579,house,,54,2.0
Nieuwe Herengracht 13 O,52.366256,4.9024577,house,,54,2.0
Nieuwe Herengracht 15-1,52.3662645,4.9025023,house,,88,2.0
Nieuwe Herengracht 15-3,52.3662647,4.9025022,house,,97,3.0
Nieuwe Herengracht 15 H,52.3662649,4.9025022,house,,60,2.0
Nieuwe Herengracht 17-1,52.3662648,4.9025757,house,,47,1.0
Nieuwe Herengracht 17-2,52.366265,4.9025756,house,,99,3.0
Nieuwe Herengracht 17-3,52.3662651,4.9025755,house,,112,4.0
Nieuwe Herengracht 17 H,52.3662653,4.9025753,house,,65,2.0
Nieuwe Herengracht 19-1,52.3662921,4.9026488,house,,70,2.0
Nieuwe Herengracht 19-2,52.3662923,4.9026487,house,,62,2.0
Nieuwe Herengracht 19-3,52.3662924,4.9026485,house,,46,1.0
Nieuwe Herengracht 19-4,52.3662926,4.9026484,house,,44,1.0
Nieuwe Herengracht 19 H,52.3662927,4.9026483,house,,175,4.0
Nieuwe Herengracht 21 A,52.3663104,4.902722,house,,100,3.0
Nieuwe Herengracht 21 B,52.3663373,4.902707,house,,59,2.0
Nieuwe Herengracht 21 C,52.3663106,4.9027219,house,,86,2.0
Nieuwe Herengracht 21 D,52.3663108,4.9027219,house,,106,3.0
Nieuwe Herengracht 23-2,52.3663199,4.9027952,house,,61,2.0
Nieuwe Herengracht 25-1A,52.366338,4.9028832,house,,54,2.0
Nieuwe Herengracht 25-1V,52.3663382,4.9028831,house,,26,1.0
Nieuwe Herengracht 25-2A,52.3663384,4.9028831,house,,73,2.0
Nieuwe Herengracht 25-2V,52.3663386,4.902883,house,,47,1.0
Nieuwe Herengracht 25-3V,52.3663388,4.902883,house,,73,2.0
Nieuwe Herengracht 25 H,52.366339,4.9028829,house,,398,6.0
Nieuwe Herengracht 29 A,52.3663826,4.9029591,house,,121,4.0
Nieuwe Herengracht 29 B,52.3664079,4.9029516,house,,112,4.0
Nieuwe Herengracht 29 C,52.3664321,4.902937,house,,108,3.0
Nieuwe Herengracht 29 D,52.3664607,4.902924,house,,108,3.0
Nieuwe Herengracht 31 A1,52.3663927,4.9030735,house,,72,2.0
Nieuwe Herengracht 31 A2,52.3663929,4.9030734,house,,155,4.0
Nieuwe Herengracht 31 B,52.3663837,4.9030736,house,,55,2.0
Nieuwe Herengracht 31 C,52.3663931,4.9030733,house,,64,2.0
Nieuwe Herengracht 31 D,52.3664017,4.9030734,house,,80,2.0
Nieuwe Herengracht 31 E,52.3664106,4.9030586,house,,64,2.0
Nieuwe Herengracht 31 F,52.3664196,4.9030585,house,,80,2.0
Nieuwe Herengracht 31 G,52.3664375,4.9030436,house,,64,2.0
Nieuwe Herengracht 31 K,52.3664465,4.9030436,house,,148,4.0
Nieuwe Herengracht 33,52.3663663,4.9032059,house,,639,6.0
Nieuwe Herengracht 35 A,52.3663914,4.9032686,house,,111,4.0
Nieuwe Herengracht 35 B,52.3663915,4.9032766,house,,44,1.0
Nieuwe Herengracht 35 C,52.3663873,4.9032711,house,,44,1.0
Nieuwe Herengracht 35 D,52.3663892,4.9032787,house,,43,1.0
Nieuwe Herengracht 35 E,52.3663858,4.903277,house,,46,1.0
Nieuwe Herengracht 37,52.3663938,4.9033525,house,,359,6.0
Nieuwe Herengracht 39-1,52.3664301,4.9034255,house,,49,1.0
Nieuwe Herengracht 39-2,52.3664303,4.9034254,house,,97,3.0
Nieuwe Herengracht 39 H,52.3664305,4.9034253,house,,96,3.0
Nieuwe Herengracht 41 B,52.3664483,4.903484,house,,14,0.0
Nieuwe Herengracht 43,52.3664575,4.9035426,house,,240,5.0
Nieuwe Herengracht 45 A,52.3664489,4.9036308,house,,57,2.0
Nieuwe Herengracht 45 B,52.3664491,4.9036308,house,,42,1.0
Nieuwe Herengracht 45 C,52.3664579,4.9036307,house,,76,2.0
Nieuwe Herengracht 47,52.3664765,4.9037773,office,,,
Nieuwe Herengracht 49,52.3665496,4.9040702,office,COC Nederland / Occhio,,
Nieuwe Herengracht 51,52.3665498,4.9041289,office,The Media Brothers,,
Nieuwe Herengracht 55 A,52.3665773,4.9042608,house,,40,1.0
Nieuwe Herengracht 55 B,52.3665773,4.9042606,house,,40,1.0
Nieuwe Herengracht 55 C,52.3665772,4.9042461,house,,40,1.0
Jonas DaniÃ«l Meijerplein 52,52.3666047,4.9043779,health_care,,,
Jonas DaniÃ«l Meijerplein 48,52.3666584,4.9043039,house,,66,2.0
Jonas DaniÃ«l Meijerplein 22,52.3667928,4.9041997,house,,76,2.0
A.S. Onderwijzerhof 34,52.3668185,4.9039058,house,,75,2.0
A.S. Onderwijzerhof 18,52.3668171,4.9035681,house,,95,2.0
A.S. Onderwijzerhof 20,52.366817,4.9035387,house,,84,2.0
A.S. Onderwijzerhof 22,52.3668081,4.9035535,house,,84,2.0
A.S. Onderwijzerhof 24,52.3667992,4.9035683,house,,96,3.0
A.S. Onderwijzerhof 26,52.3667813,4.9035978,house,,87,2.0
A.S. Onderwijzerhof 28,52.3667635,4.9036274,house,,47,1.0
A.S. Onderwijzerhof 2,52.366933,4.9033172,house,,85,2.0
A.S. Onderwijzerhof 4,52.3669241,4.9033467,house,,85,2.0
A.S. Onderwijzerhof 6,52.3669151,4.9033468,house,,85,2.0
A.S. Onderwijzerhof 8,52.3669062,4.9033615,house,,85,2.0
A.S. Onderwijzerhof 10,52.3669242,4.9033614,house,,73,2.0
A.S. Onderwijzerhof 12,52.3669241,4.9033612,house,,73,2.0
A.S. Onderwijzerhof 14,52.3668795,4.9034206,house,,73,2.0
A.S. Onderwijzerhof 16,52.3668795,4.9034353,house,,100,3.0
Nieuwe Amstelstraat 7,52.366977,4.9030965,house,,78,2.0
Nieuwe Amstelstraat 9,52.3669859,4.9030817,house,,78,2.0
Nieuwe Amstelstraat 11,52.366977,4.9030967,house,,78,2.0
Nieuwe Amstelstraat 13,52.3669773,4.9031699,house,,33,1.0
Nieuwe Amstelstraat 15,52.3669772,4.9031697,house,,33,1.0
Nieuwe Amstelstraat 17,52.3669683,4.9031553,house,,33,1.0
Nieuwe Amstelstraat 19,52.3669683,4.9031551,house,,34,1.0
Nieuwe Amstelstraat 21,52.3669769,4.9030969,house,,75,2.0
Nieuwe Amstelstraat 23,52.3669769,4.9030971,house,,75,2.0
Nieuwe Amstelstraat 27,52.3669502,4.9031261,house,,29,1.0
Nieuwe Amstelstraat 29,52.3669501,4.9031115,house,,29,1.0
Nieuwe Amstelstraat 31,52.36695,4.9030968,house,,29,1.0
Nieuwe Amstelstraat 33,52.3669768,4.9030973,house,,82,2.0
Nieuwe Amstelstraat 35,52.3669046,4.9029651,house,,75,2.0
Nieuwe Amstelstraat 57,52.3668591,4.9028335,house,,100,3.0
Nieuwe Amstelstraat 59,52.3668412,4.9028484,house,,100,3.0
Nieuwe Amstelstraat 61,52.3668233,4.9028632,house,,100,3.0
Nieuwe Amstelstraat 63,52.3667964,4.9028782,house,,100,3.0
Nieuwe Amstelstraat 65,52.3668407,4.9027309,house,,80,2.0
Nieuwe Amstelstraat 67,52.3668405,4.9027308,house,,72,2.0
Nieuwe Amstelstraat 69,52.3668135,4.9026725,house,,60,2.0
Nieuwe Amstelstraat 71,52.3668404,4.9027307,house,,72,2.0
Nieuwe Amstelstraat 73,52.3668046,4.9027019,house,,60,2.0
Nieuwe Amstelstraat 75,52.3668402,4.9027305,house,,72,2.0
Nieuwe Amstelstraat 77,52.3668133,4.9026725,house,,60,2.0
Nieuwe Amstelstraat 79,52.3668401,4.9027304,house,,33,1.0
Nieuwe Amstelstraat 81,52.3668399,4.9027303,house,,33,1.0
Nieuwe Amstelstraat 83,52.3668131,4.9026724,house,,49,1.0
Nieuwe Amstelstraat 85,52.3668044,4.9026432,shop,,,
Nieuwe Amstelstraat 87,52.3667591,4.9025556,house,,86,2.0
Nieuwe Amstelstraat 89,52.3667863,4.9026141,house,,72,2.0
Nieuwe Amstelstraat 91,52.366759,4.9025409,house,,60,2.0
Nieuwe Amstelstraat 93,52.3667862,4.9026143,house,,72,2.0
Nieuwe Amstelstraat 95,52.366759,4.9025411,house,,60,2.0
Nieuwe Amstelstraat 97,52.3667861,4.9026144,house,,72,2.0
Nieuwe Amstelstraat 99,52.3667591,4.9025558,house,,56,2.0
Nieuwe Amstelstraat 101,52.366786,4.9026146,house,,33,1.0
Nieuwe Amstelstraat 103,52.3667859,4.9026148,house,,33,1.0
Nieuwe Amstelstraat 105,52.3667681,4.9025555,house,,49,1.0
Nieuwe Amstelstraat 111,52.3666868,4.9024536,shop,,,
Waterlooplein 341,52.3666506,4.90241,house,,125,4.0
Waterlooplein 343 A,52.3666502,4.9023072,house,,71,2.0
Waterlooplein 343 B,52.3666413,4.902322,house,,105,3.0
